Order_ID,Order_Date,Customer,Product,Category,Region,Quantity,Unit_Price,Sales,Profit
ORD-0001,2025-12-13,Aarav Sharma,Monitor,Electronics,East,4,207.82,831.28,205.57
ORD-0002,2025-09-16,Priya Reddy,Headset,Electronics,West,1,49.83,49.83,7.16
ORD-0003,2025-01-04,Aarav Sharma,Backpack,Accessories,South,7,37.76,264.32,57.58
ORD-0004,2025-06-22,Pooja Verma,Keyboard,Electronics,West,6,43.0,258.0,36.91
ORD-0005,2025-05-16,Priya Reddy,Monitor,Electronics,West,2,213.8,427.6,72.18
ORD-0006,2025-10-10,Pooja Verma,Laptop,Electronics,West,2,711.51,1423.02,250.03
ORD-0007,2025-04-27,Rohan Das,Office Chair,Furniture,East,4,187.36,749.44,81.81
ORD-0008,2025-07-06,Priya Reddy,Office Chair,Furniture,South,2,175.68,351.36,67.0
ORD-0009,2025-12-16,Sneha Patel,Keyboard,Electronics,East,4,46.53,186.12,44.74
ORD-0010,2025-11-24,Divya Nair,Monitor,Electronics,South,4,205.19,820.76,144.36
ORD-0011,2025-06-11,Ananya Rao,Headset,Electronics,East,1,52.02,52.02,5.54
ORD-0012,2025-06-11,Vikram Singh,Notebook,Office Supplies,North,4,8.66,34.64,7.39
ORD-0013,2025-03-15,Rohan Das,Mouse,Electronics,West,7,26.92,188.44,43.07
ORD-0014,2025-10-26,Rahul Kumar,Office Chair,Furniture,South,5,188.89,944.45,175.37
ORD-0015,2025-01-25,Sneha Patel,Notebook,Office Supplies,South,3,8.02,24.06,2.84
ORD-0016,2025-11-02,Rahul Kumar,Monitor,Electronics,South,7,224.24,1569.68,277.76
ORD-0017,2025-10-02,Arjun Mehta,Printer,Electronics,East,1,165.77,165.77,20.37
ORD-0018,2025-01-02,Rohan Das,Office Chair,Furniture,East,2,172.57,345.14,45.43
ORD-0019,2025-11-24,Arjun Mehta,Office Chair,Furniture,South,2,193.34,386.68,61.75
ORD-0020,2025-09-29,Divya Nair,Headset,Electronics,South,3,53.61,160.83,21.28
ORD-0021,2025-06-07,Divya Nair,Laptop,Electronics,East,8,587.53,4700.24,1343.42
ORD-0022,2025-02-05,Aarav Sharma,Mouse,Electronics,South,2,22.93,45.86,9.04
ORD-0023,2025-09-28,Rahul Kumar,Headset,Electronics,South,8,59.92,479.36,63.77
ORD-0024,2025-12-10,Kiran Reddy,Backpack,Accessories,South,4,41.7,166.8,29.99
ORD-0025,2025-01-11,Neha Gupta,Desk,Furniture,West,2,237.4,474.8,53.56
ORD-0026,2025-01-31,Arjun Mehta,Backpack,Accessories,South,4,36.06,144.24,34.84
ORD-0027,2025-12-09,Priya Reddy,Mouse,Electronics,North,6,22.85,137.1,20.24
ORD-0028,2025-07-28,Ananya Rao,Printer,Electronics,South,8,151.78,1214.24,236.28
ORD-0029,2025-01-28,Priya Reddy,Mouse,Electronics,North,7,24.27,169.89,30.96
ORD-0030,2025-04-09,Aarav Sharma,Monitor,Electronics,West,6,233.23,1399.38,170.52
ORD-0031,2025-05-08,Arjun Mehta,Mouse,Electronics,West,3,24.61,73.83,11.5
ORD-0032,2025-01-08,Neha Gupta,Monitor,Electronics,North,1,226.69,226.69,47.18
ORD-0033,2025-07-25,Ananya Rao,Monitor,Electronics,South,7,219.37,1535.59,219.2
ORD-0034,2025-08-21,Rahul Kumar,Laptop,Electronics,West,1,713.09,713.09,109.13
ORD-0035,2025-01-30,Kiran Reddy,Office Chair,Furniture,West,3,168.84,506.52,72.71
ORD-0036,2025-09-15,Pooja Verma,Backpack,Accessories,North,6,36.46,218.76,47.43
ORD-0037,2025-02-04,Rahul Kumar,Headset,Electronics,North,2,58.86,117.72,13.39
ORD-0038,2025-02-11,Kiran Reddy,Mouse,Electronics,North,4,25.39,101.56,10.96
ORD-0039,2025-05-03,Rohan Das,Notebook,Office Supplies,East,5,7.53,37.65,9.16
ORD-0040,2025-02-07,Kiran Reddy,Office Chair,Furniture,South,5,178.46,892.3,255.02
ORD-0041,2025-03-09,Neha Gupta,Laptop,Electronics,North,2,654.89,1309.78,263.5
ORD-0042,2025-10-06,Priya Reddy,Desk,Furniture,South,6,239.25,1435.5,269.35
ORD-0043,2025-03-10,Divya Nair,Office Chair,Furniture,North,5,195.54,977.7,118.03
ORD-0044,2025-06-25,Priya Reddy,Office Chair,Furniture,North,3,171.8,515.4,113.89
ORD-0045,2025-01-27,Rohan Das,Mouse,Electronics,East,8,23.76,190.08,53.53
ORD-0046,2025-03-08,Rohan Das,Monitor,Electronics,West,5,199.94,999.7,166.66
ORD-0047,2025-12-20,Rahul Kumar,Office Chair,Furniture,West,7,182.19,1275.33,156.07
ORD-0048,2025-03-07,Arjun Mehta,Keyboard,Electronics,North,6,45.74,274.44,35.57
ORD-0049,2025-05-08,Vikram Singh,Laptop,Electronics,East,1,701.86,701.86,99.67
ORD-0050,2025-03-25,Sneha Patel,Monitor,Electronics,West,3,238.73,716.19,105.53
ORD-0051,2025-07-30,Kiran Reddy,Keyboard,Electronics,North,3,47.13,141.39,23.53
ORD-0052,2025-08-29,Vikram Singh,Mouse,Electronics,South,2,24.41,48.82,5.26
ORD-0053,2025-04-27,Ananya Rao,Mouse,Electronics,West,6,24.03,144.18,37.35
ORD-0054,2025-05-23,Aarav Sharma,Mouse,Electronics,South,7,24.14,168.98,46.11
ORD-0055,2025-05-14,Rohan Das,Desk,Furniture,West,6,271.96,1631.76,200.82
ORD-0056,2025-06-10,Divya Nair,Keyboard,Electronics,East,1,41.48,41.48,7.75
ORD-0057,2025-01-23,Divya Nair,Notebook,Office Supplies,North,7,8.64,60.48,8.35
ORD-0058,2025-06-19,Aarav Sharma,Notebook,Office Supplies,South,6,7.89,47.34,13.72
ORD-0059,2025-06-17,Sneha Patel,Backpack,Accessories,North,5,40.06,200.3,46.75
ORD-0060,2025-07-14,Pooja Verma,Notebook,Office Supplies,East,3,7.51,22.53,5.25
ORD-0061,2025-05-27,Divya Nair,Keyboard,Electronics,East,7,45.43,318.01,31.83
ORD-0062,2025-09-19,Kiran Reddy,Mouse,Electronics,East,8,24.71,197.68,46.48
